GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021600007,9,202699,Tobias Harris,1610612765,Detroit Pistons,1,10,36,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-11,47,1,1,20161026,TOR,DET
Shot Chart Detail,0021600007,100,202699,Tobias Harris,1610612765,Detroit Pistons,1,2,31,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,60,16,1,1,20161026,TOR,DET
Shot Chart Detail,0021600007,118,202699,Tobias Harris,1610612765,Detroit Pistons,1,1,1,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,TOR,DET
Shot Chart Detail,0021600007,216,202699,Tobias Harris,1610612765,Detroit Pistons,2,6,39,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,8,-83,21,1,1,20161026,TOR,DET
Shot Chart Detail,0021600007,268,202699,Tobias Harris,1610612765,Detroit Pistons,2,3,4,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161026,TOR,DET
Shot Chart Detail,0021600007,316,202699,Tobias Harris,1610612765,Detroit Pistons,3,10,10,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-222,3,1,1,20161026,TOR,DET
Shot Chart Detail,0021600007,384,202699,Tobias Harris,1610612765,Detroit Pistons,3,3,35,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-94,115,1,1,20161026,TOR,DET
Shot Chart Detail,0021600007,386,202699,Tobias Harris,1610612765,Detroit Pistons,3,3,6,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-107,31,1,1,20161026,TOR,DET
Shot Chart Detail,0021600020,8,202699,Tobias Harris,1610612765,Detroit Pistons,1,10,50,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-205,159,1,1,20161028,DET,ORL
Shot Chart Detail,0021600020,19,202699,Tobias Harris,1610612765,Detroit Pistons,1,9,29,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,-1,1,1,20161028,DET,ORL
Shot Chart Detail,0021600020,46,202699,Tobias Harris,1610612765,Detroit Pistons,1,6,54,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,16,1,1,20161028,DET,ORL
Shot Chart Detail,0021600020,200,202699,Tobias Harris,1610612765,Detroit Pistons,2,3,39,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,61,26,1,1,20161028,DET,ORL
Shot Chart Detail,0021600020,233,202699,Tobias Harris,1610612765,Detroit Pistons,2,0,37,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,33,46,1,1,20161028,DET,ORL
Shot Chart Detail,0021600020,249,202699,Tobias Harris,1610612765,Detroit Pistons,3,11,32,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,18,-156,95,1,1,20161028,DET,ORL
Shot Chart Detail,0021600020,279,202699,Tobias Harris,1610612765,Detroit Pistons,3,7,24,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-4,61,1,1,20161028,DET,ORL
Shot Chart Detail,0021600020,341,202699,Tobias Harris,1610612765,Detroit Pistons,3,1,13,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161028,DET,ORL
Shot Chart Detail,0021600038,9,202699,Tobias Harris,1610612765,Detroit Pistons,1,10,7,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,24,241,26,1,1,20161030,DET,MIL
Shot Chart Detail,0021600038,23,202699,Tobias Harris,1610612765,Detroit Pistons,1,7,58,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-151,213,1,1,20161030,DET,MIL
Shot Chart Detail,0021600038,26,202699,Tobias Harris,1610612765,Detroit Pistons,1,7,29,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,9,129,1,1,20161030,DET,MIL
Shot Chart Detail,0021600038,309,202699,Tobias Harris,1610612765,Detroit Pistons,3,3,0,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,7,1,1,20161030,DET,MIL
Shot Chart Detail,0021600038,332,202699,Tobias Harris,1610612765,Detroit Pistons,3,0,45,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-1,46,1,1,20161030,DET,MIL
Shot Chart Detail,0021600038,337,202699,Tobias Harris,1610612765,Detroit Pistons,3,0,1,Made Shot,Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1,20161030,DET,MIL
Shot Chart Detail,0021600038,410,202699,Tobias Harris,1610612765,Detroit Pistons,4,6,25,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,15,-153,36,1,1,20161030,DET,MIL
Shot Chart Detail,0021600050,23,202699,Tobias Harris,1610612765,Detroit Pistons,1,9,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,227,7,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,195,202699,Tobias Harris,1610612765,Detroit Pistons,2,6,25,Made Shot,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-27,56,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,300,202699,Tobias Harris,1610612765,Detroit Pistons,3,7,26,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-7,2,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,311,202699,Tobias Harris,1610612765,Detroit Pistons,3,6,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-4,2,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,357,202699,Tobias Harris,1610612765,Detroit Pistons,3,2,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,6,11,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,395,202699,Tobias Harris,1610612765,Detroit Pistons,4,9,30,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,112,234,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,422,202699,Tobias Harris,1610612765,Detroit Pistons,4,7,24,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-96,23,1,1,20161101,DET,NYK
Shot Chart Detail,0021600050,495,202699,Tobias Harris,1610612765,Detroit Pistons,4,1,11,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20161101,DET,NYK
Shot Chart Detail,0021600057,28,202699,Tobias Harris,1610612765,Detroit Pistons,1,7,51,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,-10,1,1,20161102,BKN,DET
Shot Chart Detail,0021600057,38,202699,Tobias Harris,1610612765,Detroit Pistons,1,7,8,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,14,12,144,1,1,20161102,BKN,DET
Shot Chart Detail,0021600057,206,202699,Tobias Harris,1610612765,Detroit Pistons,2,3,52,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,3,1,1,20161102,BKN,DET
Shot Chart Detail,0021600057,215,202699,Tobias Harris,1610612765,Detroit Pistons,2,2,26,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,7,1,1,20161102,BKN,DET
Shot Chart Detail,0021600057,246,202699,Tobias Harris,1610612765,Detroit Pistons,3,10,22,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-30,-11,1,1,20161102,BKN,DET
Shot Chart Detail,0021600057,258,202699,Tobias Harris,1610612765,Detroit Pistons,3,8,36,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,24,16,1,1,20161102,BKN,DET
Shot Chart Detail,0021600057,464,202699,Tobias Harris,1610612765,Detroit Pistons,4,3,13,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,33,28,1,1,20161102,BKN,DET
Shot Chart Detail,0021600057,494,202699,Tobias Harris,1610612765,Detroit Pistons,4,0,38,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,23,-205,124,1,1,20161102,BKN,DET
Shot Chart Detail,0021600082,23,202699,Tobias Harris,1610612765,Detroit Pistons,1,9,58,Made Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,12,-102,72,1,1,20161105,DET,DEN
Shot Chart Detail,0021600082,42,202699,Tobias Harris,1610612765,Detroit Pistons,1,7,18,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1,20161105,DET,DEN
Shot Chart Detail,0021600082,234,202699,Tobias Harris,1610612765,Detroit Pistons,2,2,8,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,3,1,1,20161105,DET,DEN
Shot Chart Detail,0021600082,239,202699,Tobias Harris,1610612765,Detroit Pistons,2,1,42,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,62,1,1,20161105,DET,DEN
Shot Chart Detail,0021600098,19,202699,Tobias Harris,1610612765,Detroit Pistons,1,9,39,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,16,1,1,20161107,LAC,DET
Shot Chart Detail,0021600098,81,202699,Tobias Harris,1610612765,Detroit Pistons,1,2,18,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,19,36,1,1,20161107,LAC,DET
Shot Chart Detail,0021600098,166,202699,Tobias Harris,1610612765,Detroit Pistons,2,6,27,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-6,56,1,1,20161107,LAC,DET
Shot Chart Detail,0021600098,267,202699,Tobias Harris,1610612765,Detroit Pistons,3,10,50,Made Shot,Running Pull-Up Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,35,80,1,1,20161107,LAC,DET
Shot Chart Detail,0021600098,296,202699,Tobias Harris,1610612765,Detroit Pistons,3,7,17,Made Shot,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,28,33,1,1,20161107,LAC,DET
Shot Chart Detail,0021600113,16,202699,Tobias Harris,1610612765,Detroit Pistons,1,8,57,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-84,149,1,1,20161109,PHX,DET
